cod_ine,nombre,gestion,alcalde,foto,partido,votos
10101,Sucre,2015,Iván Jorge Arcienega Collazos,jpg,MAS-IPSP,29.4
10102,Yotala,2015,Dionisio Barriga Seña,jpg,MAS-IPSP,46.72
10103,Poroma,2015,Luciano Precio Romero,jpg,MAS-IPSP,47.38
10201,Villa Azurduy,2015,Leonardo Vladimir Flores Ferrufino,jpg,MAS-IPSP,41.78
10202,Tarvita,2015,Reynaldo Cruz Villalba,jpg,MAS-IPSP,42.58
10301,Villa Zudañez,2015,Silverio Cuellar Ochoa,jpg,MAS-IPSP,46.63
10302,Presto,2015,José Luis Pérez Torres,jpg,MAS-IPSP,53.16
10303,Villa Mojocoya,2015,Richard Lomar,jpg,MAS-IPSP,37.8
10304,Icla,2015,Gonzalo Salazar Ponce,jpg,MAS-IPSP,42.83
10401,Padilla,2015,Raúl Soliz Irala,jpg,MAS-IPSP,49.19
10402,Tomina,2015,Germán Sifuentes Terrazas,jpg,MAS-IPSP,68.32
10403,Sopachuy,2015,José Cáceres Salazar,jpg,MAS-IPSP,51.67
10404,Villa Alcalá,2015,Diego Cruz Estrada,jpg,MAS-IPSP,42.37
10405,El Villar,2015,Gerardo Llanes Navarro,jpg,MAS-IPSP,62.93
10501,Monteagudo,2015,Tito Ronald Aramayo Carballo,jpg,FRI,32.27
10502,San Pablo de Huacareta,2015,Daniel López Salazar,jpg,MAS-IPSP,46.91
10601,Tarabuco,2015,Iber Meras Durán,jpg,MAS-IPSP,38.15
10602,Yamparáez,2015,Edwin Palacios Díaz,jpg,MAS-IPSP,53.15
10701,Camargo,2015,Valentín Cruz Copa,jpg,MAS-IPSP,38.49
10702,San Lucas,2015,Zenón Aiza Peñas,jpg,MAS-IPSP,54.74
10703,Incahuasi,2015,Filomeno Agapito Cruz Rodríguez,jpg,MAS-IPSP,42.24
10704,Villa Charcas,2015,Juan Rodríguez Rengifo,jpg,MAS-IPSP,58.11
10801,Villa Serrano,2015,Mario Ramírez Carvallo,jpg,MAS-IPSP,48.29
10901,Camataqui (Villa Abecia),2015,Jhonny Gilberto Ortega Alzo,jpg,MAS-IPSP,44.21
10902,Culpina,2015,Wilfredo Aguirre,jpg,MAS-IPSP,39.06
10903,Las Carreras,2015,Limber Aparicio Flores,jpg,MAS-IPSP,59.53
11001,Villa Vaca Guzmán (Muyupampa),2015,Félix Flores Pérez,jpg,MAS-IPSP,30.34
11002,Huacaya,2015,Henry Nogales Rosado,jpg,MAS-IPSP,43.75
11003,Macharetí,2015,Eduviges Chambaye Maruanda,jpg,CST,35.75
20101,La Paz,2015,Luis Antonio Revilla Herrero,jpg,SOL.BO,49.49
20102,Palca,2015,Rene Vitaliano Aruquipa Ramos,jpg,MCP-NG,22.3
20103,Mecapaca,2015,Enrique De La Cruz Mendoza,jpg,MAS-IPSP,21.4
20104,Achocalla,2015,Damaso Teodoro Ninaja Huanca,jpg,MAS-IPSP,22.36
20105,El Alto,2015,Carmen Soledad Chapeton Tancara,jpg,UN,32.16
20201,Achacachi,2015,Edgar Ramos Laura,jpg,MAS-IPSP,19.11
20202,Ancoraimes,2015,Zenon Ramos Mamani,jpg,MAS-IPSP,29.66
20203,Chua Cocani,2015,Juan Rodríguez Coarite,jpg,MAS-IPSP,26.12
20204,Huarina,2015,Agustín Quispe Yujra,jpg,MAS-IPSP,31.69
20205,Santiago de Huata,2015,Roberto Huaycho Villca,jpg,MAS-IPSP,17.91
