cod_ine,nombre,concejales,concejales_hombres,concejales_mujeres,concejo,votacion,resultado
10101,Sucre,11,6,5,"[{""s"":""MAS-IPSP"",""v"":4},{""s"":""PAIS"",""v"":4},{""s"":""NA-C"",""v"":1},{""s"":""PS"",""v"":2}]",,
10102,Yotala,5,3,2,"[{""s"":""MAS-IPSP"",""v"":4},{""s"":""NA-C"",""v"":1}]",,
10103,Poroma,5,3,2,"[{""s"":""MAS-IPSP"",""v"":5}]",,
10201,Villa Azurduy,5,3,2,"[{""s"":""MAS-IPSP"",""v"":4},{""s"":""PAIS"",""v"":1}]",,
10202,Tarvita,5,3,2,"[{""s"":""MAS-IPSP"",""v"":4},{""s"":""PAIS"",""v"":1}]",,
10301,Villa Zudañez,5,4,1,"[{""s"":""MAS-IPSP"",""v"":3},{""s"":""MSM"",""v"":1},{""s"":""PAIS"",""v"":1}]",,
10302,Presto,5,2,3,"[{""s"":""MAS-IPSP"",""v"":4},{""s"":""MSM"",""v"":1}]",,
10303,Villa Mojocoya,5,2,3,"[{""s"":""MAS-IPSP"",""v"":4},{""s"":""M.I.M."",""v"":1}]",,
10304,Icla,4,2,2,"[{""s"":""MAS-IPSP"",""v"":4}]",,
10401,Padilla,5,3,2,"[{""s"":""MAS-IPSP"",""v"":4},{""s"":""LIDER"",""v"":1}]",,
10402,Tomina,5,3,2,"[{""s"":""MAS-IPSP"",""v"":5}]",,
10403,Sopachuy,5,3,2,"[{""s"":""MAS-IPSP"",""v"":4},{""s"":""M.M.P."",""v"":1}]",,
10404,Villa Alcalá,5,3,2,"[{""s"":""MAS-IPSP"",""v"":3},{""s"":""M.M.P."",""v"":2}]",,
10405,El Villar,5,3,2,"[{""s"":""MAS-IPSP"",""v"":4},{""s"":""LIDER"",""v"":1}]",,
10501,Monteagudo,7,4,3,"[{""s"":""MAS-IPSP"",""v"":3},{""s"":""NA-C"",""v"":4}]",,
10502,San Pablo de Huacareta,5,3,2,"[{""s"":""MAS-IPSP"",""v"":2},{""s"":""NA-C"",""v"":1},{""s"":""LIDER"",""v"":2}]",,
10601,Tarabuco,5,3,2,"[{""s"":""MAS-IPSP"",""v"":3},{""s"":""MSM"",""v"":2}]",,
10602,Yamparáez,5,2,3,"[{""s"":""MAS-IPSP"",""v"":4},{""s"":""UCPY"",""v"":1}]",,
10701,Camargo,5,3,2,"[{""s"":""MAS-IPSP"",""v"":2},{""s"":""MSM"",""v"":1},{""s"":""C.S.T."",""v"":2}]",,
10702,San Lucas,7,5,2,"[{""s"":""MAS-IPSP"",""v"":5},{""s"":""MSM"",""v"":1},{""s"":""UN"",""v"":1}]",,
10703,Incahuasi,5,4,1,"[{""s"":""MAS-IPSP"",""v"":3},{""s"":""MSM"",""v"":1},{""s"":""C.S.T."",""v"":1}]",,
10704,Villa Charcas,5,3,2,"[{""s"":""MAS-IPSP"",""v"":3},{""s"":""MSM"",""v"":2}]",,
