cod_ine,nombre,otros_nombres,seccion,circunscripcion,departamento,provincia,mancomunidad,region,amdes,creacion,norma,cantones,fronterizo,altitud,superficie,perimetro,distancia,clima,temperatura
51302,Acasio,,Segunda,40,Potosí,Gral. B. Bilbao,"[""Mancomunidad Norte de Potosí"",""Mancomunidad Cuenca del Caine""]",Norte,AMDEPO,1938-11-10,,2,FALSE,3000,345319797,102723,595,Subhúmedo a húmedo,14
20201,Achacachi,,Primera,18,La Paz,Omasuyos,"[""Mancomunidad Cuenca Lechera"",""Mancomunidad del Lago""]",,AMDEPAZ,1990-12-05,,14,FALSE,4000,1077787752,231859,85,Frío,8
20104,Achocalla,,Tercera,14,La Paz,Murillo,"[""Mancomunidad Cuenca Lechera""]",,AMDEPAZ,1947-10-24,"[{""tit"":""Ley de 24 de octubre de 1947"",""id"":""BO-L-19471024""}]",3,FALSE,3600,194751788,84674,13,Frío,10
30201,Aiquile,,Primera,29,Cochabamba,Campero,"[""Cono Sur"",""Mancomunidad de Municipios Integración""]",Cono Sur,AMDECO,1912-11-15,,3,FALSE,2300,2730738758,308720,217,Templado y árido,19
31303,Alalay,,Tercera,,Cochabamba,Mizque,"[""Cono Sur""]",Cono Sur,AMDECO,1989-02-21,"[{""tit"":""Ley Nº 1090 21 de febrero de 1989"",""id"":""BO-L-1090""}]",2,FALSE,0,423582252,101671,,,
22002,Alto Beni,,Segunda,19,La Paz,Caranavi,,,AMDEPAZ,2009-12-23,,,FALSE,500,1037000000,,180,Cálido húmedo,25
20202,Ancoraimes,,Segunda,18,La Paz,Omasuyos,"[""Mancomunidad del Lago""]",,AMDEPAZ,1985-01-31,"[{""tit"":""Ley Nº 515 30 de abril de 1980"",""id"":""BO-L-515""}]",6,FALSE,3900,326294585,88994,122,Frío,9
41201,Andamarca,Santiago de Andamarca,Primera,35,Oruro,Sur Carangas,"[""Thumivida""]",,AMDEOR,1980-03-31,"[{""tit"":""Ley Nº 299 15 de enero de 1964"",""id"":""BO-L-299""}]",,FALSE,3800,2297000000,,124,Frío,9
40603,Antequera,,Tercera,,Oruro,Poopo,"[""Minera""]",,AMDEOR,1982-10-06,,3,FALSE,0,283211991,108130,,,
30402,Anzaldo,,Segunda,30,Cochabamba,Esteban Arce,"[""Mancomunidad Cuenca del Caine""]",Valles,AMDECO,1914-11-24,"[{""tit"":""Ley de 20 de octubre de 1906"",""id"":""BO-L-19061020""}]",3,FALSE,3200,646809290,139058,43,Templado,16.5
20701,Apolo,,Primera,19,La Paz,Franz Tamayo,"[""Mancomunidad del Norte Paceño Tropical"",""Norte Paceño""]",,AMDEPAZ,1967-11-20,,5,FALSE,1400,13862459245,767208,329,clima extremo,22
51301,Arampampa,,Primera,40,Potosí,Gral. B. Bilbao,"[""Mancomunidad Norte de Potosí"",""Mancomunidad Cuenca del Caine""]",Norte,AMDEPO,1938-11-10,,8,FALSE,3000,424587262,133754,507,Variado Subhúmedo a húmedo,14
30501,Arani,,Primera,29,Cochabamba,Arani,,Valles,AMDECO,1914-11-24,,3,FALSE,2700,216452814,64076,56,Variado,16.5
30403,Arbieto,,Tercera,30,Cochabamba,Esteban Arce,"[""Mancomunidad Cuenca del Caine""]",Valles,AMDECO,1983-09-20,"[{""tit"":""Ley Nº 563 20 de septiembre de 1983"",""id"":""BO-L-563""}]",3,FALSE,2600,147145632,75427,32,Templado,18
30601,Arque,,Primera,31,Cochabamba,Arque,"[""Andina""]",Andina,AMDECO,1908-10-01,,2,FALSE,2700,516091620,124665,106,Humeda a semiárida,16
71501,Ascención de Guarayos,,Primera,57,Santa Cruz,Guarayos,"[""Mancomunidad Guarayos""]",,AMDECRUZ,1990-03-06,"[{""tit"":""Ley Nº 641 27 de septiembre de 1984"",""id"":""BO-L-641""}]",3,FALSE,250,8749565858,924727,307,Cálido,24
50802,Atocha,,Segunda,44,Potosí,Sur Chichas,"[""Mancomunidad Chichas"",""Mancomunidad Vedespo""]",Sud,AMDEPO,1963-09-21,,9,FALSE,4000,2107394759,218733,295,Seco y Frío,12
20503,Aucapata,,Tercera,18,La Paz,Muñecas,,,AMDEPAZ,1993-02-11,"[{""tit"":""Ley Nº 1427 11 de febrero de 1993"",""id"":""BO-L-1427""},{""tit"":""Ley de 14 de septiembre de 1957"",""id"":""BO-L-19570914-2""},{""tit"":""Ley de 1 de diciembre de 1893"",""id"":""BO-L-18931201""}]",2,FALSE,2500,240866629,68668,300,Variado de acuerdo a topografía,15
20502,Ayata,,Segunda,18,La Paz,Muñecas,,,AMDEPAZ,1969-12-31,"[{""tit"":""Ley de 14 de septiembre de 1957"",""id"":""BO-L-19570914-2""},{""tit"":""Ley Nº 854 29 de abril de 1986"",""id"":""BO-L-854""},{""tit"":""Ley de 1 de diciembre de 1893"",""id"":""BO-L-18931201""}]",2,FALSE,4000,665236089,171673,305,Templado,12
21303,Ayo Ayo,,Tercera,21,La Paz,Aroma,,,AMDEPAZ,1961-10-30,,5,FALSE,3800,488266850,120872,90,Frío,9
21203,Batallas,,Tercera,,La Paz,Los Andes,"[""Mancomunidad Cuenca Lechera"",""Mancomunidad del Lago""]",,AMDEPAZ,1984-10-18,,8,FALSE,0,985784784,157808,,,
80802,Baures,,Segunda,65,Beni,Itenez,,,AMDEBENI,1969-12-31,,2,FALSE,130,17807896615,891187,370,Cálido y húmedo,26.5
41202,Belén de Andamarca,,Segunda,35,Oruro,Sur Carangas,"[""Aymara sin Fronteras"",""Thumivida"",""Mancomunidad Aymaras sin Fronteras""]",,AMDEOR,1991-02-13,"[{""tit"":""Ley Nº 1236 13 de febrero de 1991"",""id"":""BO-L-1236""}]",,FALSE,3800,1068000000,,160,Frío,9
50104,Belén de Urmiri,,Tercera,38,Potosí,Tomas Frias,"[""Mancomunidad Tomas Frias""]",Centro,AMDEPO,1993-11-10,"[{""tit"":""Ley Nº 1512 10 de noviembre de 1993"",""id"":""BO-L-1512""}]",2,FALSE,4000,1303242941,163648,50,Frío y seco,9
90104,Bella Flor,,Tercera,67,Pando,Nicolas Suarez,"[""Mancomunidad Tahuamanu""]",,AMDEPANDO,1938-09-24,,2,FALSE,200,5754579995,678699,138,Tropical húmedo y Cálido,25
60202,Bermejo,,Segunda,47,Tarija,Arce,"[""Mancomunidad Del Sur""]",,AMT,1956-12-07,"[{""tit"":""Ley de 7 de diciembre de 1956"",""id"":""BO-L-19561207-1""}]",4,FALSE,400,383004419,128647,160,Templado,23
50301,Betanzos,,Primera,42,Potosí,Cornelio Saavedra,,Centro,AMDEPO,1992-03-17,,10,FALSE,3500,1913873316,260771,35,Templado,12
90302,Blanca Flor,San Lorenzo,Segunda,68,Pando,Madre de Dios,"[""Mancomunidad Madre de Dios""]",,AMDEPANDO,1938-09-24,,3,FALSE,150,3162148518,524222,,Tropical húmedo y Cálido,26
31501,Bolívar,,Primera,31,Cochabamba,Bolivar,"[""Andina""]",Andina,AMDECO,1985-01-31,,9,FALSE,4000,722514763,151944,79,Templado,10
90103,Bolpebra,,Segunda,66,Pando,Nicolas Suarez,"[""Mancomunidad Tahuamanu""]",,AMDEPANDO,1938-09-24,,2,FALSE,250,2562754867,284372,58,Tropical húmedo y Cálido,25
70707,Boyuibe,,Séptima,59,Santa Cruz,Cordillera,"[""Cordillera"",""Mancomunidad MANCHABOL"",""Mancomunidad Servicios Básicos del Chaco Boliviano""]",,AMDECRUZ,1991-09-30,,2,FALSE,900,1675443277,223451,319,Templado,23
70401,Buena Vista,,Primera,69,Santa Cruz,Ichilo,"[""Mancomunidad Sara e Ichilo""]",,AMDECRUZ,1926-04-08,,4,FALSE,350,2267335595,312707,102,Sub tropical,24
70703,Cabezas,,Tercera,59,Santa Cruz,Cordillera,"[""Cordillera"",""Mancomunidad Cuenca Baja del Rio Grande"",""Mancomunidad MANCHABOL""]",,AMDECRUZ,1906-11-28,"[{""tit"":""Ley de 28 de noviembre de 1906"",""id"":""BO-L-19061128-3""}]",6,FALSE,450,5104261003,438685,120,Cálido y húmedo,23
20905,Cairoma,,Quinta,21,La Paz,Loayza,"[""Mancomunidad De La Provincia Loayza"",""Mancomunidad Valles Interandinos""]",,AMDEPAZ,1988-11-17,"[{""tit"":""Ley Nº 1029 17 de noviembre de 1988"",""id"":""BO-L-1029""}]",5,FALSE,4000,540921215,120492,320,Templado y cálido,11
51102,"Caiza ""D""",,Segunda,42,Potosí,Jose Maria Linares,"[""Mancomunidad Centro de Potosí""]",Centro,AMDEPO,1984-11-01,"[{""tit"":""Ley Nº 666 1 de noviembre de 1984"",""id"":""BO-L-666""}]",5,FALSE,3800,1377527288,198665,60,Templado,11
21003,Cajuata,,Tercera,20,La Paz,Inquisivi,"[""Mancomunidad Valles Interandinos""]",,AMDEPAZ,1945-11-03,"[{""tit"":""Ley de 3 de noviembre de 1945"",""id"":""BO-L-19451103-3""}]",4,FALSE,1400,966863557,173606,204,Templado a Cálido,18
20303,Calacoto,,Tercera,22,La Paz,Pacajes,"[""Mancomunidad Jach'a Suyo Pacajes"",""Mancomunidad Aymaras sin Fronteras""]",,AMDEPAZ,1980-04-07,"[{""tit"":""Ley Nº 104 20 de octubre de 1961"",""id"":""BO-L-104""}]",13,FALSE,3900,3921510926,444424,275,Seco y frío,8
21304,Calamarca,,Cuarta,21,La Paz,Aroma,"[""Mancomunidad Altiplano y Valle Central""]",,AMDEPAZ,1992-10-15,"[{""tit"":""Ley de 21 de diciembre de 1948"",""id"":""BO-L-19481221-9""}]",7,FALSE,3800,492089966,98974,50,Templado a frío,9
10701,Camargo,,Primera,6,Chuquisaca,Nor Cinti,"[""Mancomunidad de los Cintis""]",Cintis,AGAMDECH,1969-12-31,"[{""tit"":""Ley de 5 de noviembre de 1886"",""id"":""BO-L-18861105""}]",3,FALSE,2700,1995534962,233074,351,Templado a Cálido,21
10901,Camataqui,Villa Abecia,Primera,6,Chuquisaca,Sud Cinti,"[""Mancomunidad de los Cintis""]",Cintis,AGAMDECH,1944-03-23,,2,FALSE,2500,708920467,145818,327,Templado a subhúmedo y seco,18
