cod-ine,nombre,mujer_rural,mujer_urbana,hombre_rural,hombre_urbana,m0,m5,m10,m15,m20,m25,m30,m35,m40,m45,m50,m55,m60,m65,m70,m75,m80,m85,m90,m95,m100,h0,h5,h10,h15,h20,h25,h30,h35,h40,h45,h50,h55,h60,h65,h70,h75,h80,h85,h90,h95,h100
10101,Sucre,11211,113456,11192,125342,13787,12363,13768,14858,15254,11091,9222,7116,5849,4768,4086,3242,2790,2093,1676,971,986,445,186,116,0,13411,12270,13654,15834,16390,11840,10111,8276,6949,5917,4915,4105,3686,2745,2145,1485,1576,737,301,187,0
10102,Yotala,4704,0,4757,0,470,467,600,557,401,293,271,238,222,219,230,187,192,152,93,40,41,18,10,3,0,458,420,588,474,347,305,277,245,246,233,226,199,232,157,119,95,74,41,16,5,0
10103,Poroma,8714,0,8663,0,1141,1113,1190,760,496,442,492,472,416,405,400,345,316,200,213,104,118,50,30,11,0,1156,1107,1131,684,464,445,544,448,418,407,371,342,309,199,240,132,169,50,32,15,0
10201,Villa Azurduy,5414,0,5238,0,673,736,835,520,340,296,334,266,222,190,218,195,165,120,116,71,68,35,6,8,0,681,735,704,462,272,281,338,265,225,202,226,153,205,132,114,82,94,33,17,17,0
10202,Tarvita,7237,0,7024,0,811,1046,1122,693,385,324,385,369,364,295,299,239,275,169,176,116,97,29,26,17,0,812,989,1015,618,348,324,358,364,376,336,285,222,257,194,179,123,126,45,31,22,0
10301,Villa Zudañez,3671,2124,3523,2044,577,550,642,640,572,452,399,328,304,268,261,219,185,151,94,65,57,20,5,6,0,526,559,587,609,491,388,378,329,308,283,245,226,198,131,135,73,61,29,4,7,0
10302,Presto,4848,1457,4629,1451,810,752,760,642,465,474,384,361,283,301,266,207,188,131,104,56,62,22,20,17,0,742,659,709,616,477,477,408,343,283,253,232,213,215,164,109,45,73,26,23,13,0
10303,Villa Mojocoya,3985,0,4083,0,464,405,593,448,276,245,210,208,186,188,182,138,150,98,76,44,45,18,2,9,0,481,446,553,401,266,207,238,244,208,191,178,150,152,120,89,60,60,21,11,7,0
10304,Icla,3884,0,3890,0,413,499,576,447,212,211,222,197,199,160,160,133,148,99,81,41,49,19,17,1,0,430,517,519,369,210,202,206,184,181,183,144,155,180,119,83,56,105,25,13,9,0
10401,Padilla,3706,1548,3363,1766,501,493,665,503,396,361,353,345,284,276,233,213,199,151,109,85,49,27,8,3,0,532,575,583,475,336,321,334,288,270,270,215,210,192,174,143,88,70,27,17,9,0
10402,Tomina,4294,0,4200,0,472,483,538,456,326,280,243,238,238,224,188,145,142,117,68,44,54,21,10,7,0,482,473,534,420,291,248,265,246,194,216,177,145,159,121,75,49,65,25,9,6,0
