cod-ine,nombre,rural,urbana,tipo_desague,tenencia,acceso_agua
10101,Sucre,7989,69770,"[{""t"":""Al alcantarillado"", ""u"":53726, ""r"":287},{""t"":""A una cámara séptica"", ""u"":544, ""r"":188},{""t"":""A un pozo ciego"", ""u"":646, ""r"":1081},{""t"":""A la calle"", ""u"":363, ""r"":16},{""t"":""A la quebrada, río"", ""u"":342, ""r"":45},{""t"":""A un lago, laguna, curichi"", ""u"":2, ""r"":0},{""t"":""No tiene"", ""u"":7485, ""r"":5110}]","[{""t"":""Propia"", ""u"":34320, ""r"":6236},{""t"":""Alquilada"", ""u"":17838, ""r"":212},{""t"":""En contrato anticrético"", ""u"":4107, ""r"":5},{""t"":""En contrato anticrético y alquiler"", ""u"":261, ""r"":3},{""t"":""Cedida por servicios"", ""u"":785, ""r"":80},{""t"":""Prestada por parientes o amigos"", ""u"":4798, ""r"":157},{""t"":""Otra"", ""u"":999, ""r"":34}]","[{""t"":""Cañería de red"", ""u"":55811, ""r"":2206},{""t"":""Carro repartidor (aguatero)"", ""u"":1395, ""r"":88},{""t"":""Lago, laguna, curichi"", ""u"":64, ""r"":261},{""t"":""Lluvia, río, vertiente, acequia"", ""u"":467, ""r"":2899},{""t"":""Pileta pública"", ""u"":4479, ""r"":583},{""t"":""Pozo o noria con bomba"", ""u"":540, ""r"":280},{""t"":""Pozo o noria sin bomba"", ""u"":352, ""r"":410}]"
10102,Yotala,3495,0,"[{""t"":""Al alcantarillado"", ""u"":0, ""r"":489},{""t"":""A una cámara séptica"", ""u"":0, ""r"":159},{""t"":""A un pozo ciego"", ""u"":0, ""r"":889},{""t"":""A la calle"", ""u"":0, ""r"":3},{""t"":""A la quebrada, río"", ""u"":0, ""r"":32},{""t"":""No tiene"", ""u"":0, ""r"":1074}]","[{""t"":""Propia"", ""u"":0, ""r"":2297},{""t"":""Alquilada"", ""u"":0, ""r"":92},{""t"":""En contrato anticrético y alquiler"", ""u"":0, ""r"":6},{""t"":""Cedida por servicios"", ""u"":0, ""r"":126},{""t"":""Prestada por parientes o amigos"", ""u"":0, ""r"":93},{""t"":""Otra"", ""u"":0, ""r"":32}]","[{""t"":""Cañería de red"", ""u"":0, ""r"":1433},{""t"":""Carro repartidor (aguatero)"", ""u"":0, ""r"":42},{""t"":""Lago, laguna, curichi"", ""u"":0, ""r"":9},{""t"":""Lluvia, río, vertiente, acequia"", ""u"":0, ""r"":458},{""t"":""Pileta pública"", ""u"":0, ""r"":230},{""t"":""Pozo o noria con bomba"", ""u"":0, ""r"":341},{""t"":""Pozo o noria sin bomba"", ""u"":0, ""r"":133}]"
10103,Poroma,5962,0,"[{""t"":""Al alcantarillado"", ""u"":0, ""r"":110},{""t"":""A una cámara séptica"", ""u"":0, ""r"":31},{""t"":""A un pozo ciego"", ""u"":0, ""r"":151},{""t"":""A la calle"", ""u"":0, ""r"":1},{""t"":""A la quebrada, río"", ""u"":0, ""r"":6},{""t"":""No tiene"", ""u"":0, ""r"":4596}]","[{""t"":""Propia"", ""u"":0, ""r"":4685},{""t"":""Alquilada"", ""u"":0, ""r"":76},{""t"":""En contrato anticrético"", ""u"":0, ""r"":1},{""t"":""Cedida por servicios"", ""u"":0, ""r"":59},{""t"":""Prestada por parientes o amigos"", ""u"":0, ""r"":55},{""t"":""Otra"", ""u"":0, ""r"":19}]","[{""t"":""Cañería de red"", ""u"":0, ""r"":1356},{""t"":""Carro repartidor (aguatero)"", ""u"":0, ""r"":1},{""t"":""Lago, laguna, curichi"", ""u"":0, ""r"":93},{""t"":""Lluvia, río, vertiente, acequia"", ""u"":0, ""r"":2170},{""t"":""Pileta pública"", ""u"":0, ""r"":492},{""t"":""Pozo o noria con bomba"", ""u"":0, ""r"":100},{""t"":""Pozo o noria sin bomba"", ""u"":0, ""r"":683}]"
10201,Villa Azurduy,3196,0,"[{""t"":""Al alcantarillado"", ""u"":0, ""r"":261},{""t"":""A una cámara séptica"", ""u"":0, ""r"":76},{""t"":""A un pozo ciego"", ""u"":0, ""r"":227},{""t"":""A la quebrada, río"", ""u"":0, ""r"":3},{""t"":""No tiene"", ""u"":0, ""r"":1971}]","[{""t"":""Propia"", ""u"":0, ""r"":2224},{""t"":""Alquilada"", ""u"":0, ""r"":154},{""t"":""En contrato anticrético"", ""u"":0, ""r"":3},{""t"":""En contrato anticrético y alquiler"", ""u"":0, ""r"":2},{""t"":""Cedida por servicios"", ""u"":0, ""r"":64},{""t"":""Prestada por parientes o amigos"", ""u"":0, ""r"":83},{""t"":""Otra"", ""u"":0, ""r"":8}]","[{""t"":""Cañería de red"", ""u"":0, ""r"":995},{""t"":""Carro repartidor (aguatero)"", ""u"":0, ""r"":10},{""t"":""Lago, laguna, curichi"", ""u"":0, ""r"":57},{""t"":""Lluvia, río, vertiente, acequia"", ""u"":0, ""r"":1047},{""t"":""Pileta pública"", ""u"":0, ""r"":181},{""t"":""Pozo o noria con bomba"", ""u"":0, ""r"":15},{""t"":""Pozo o noria sin bomba"", ""u"":0, ""r"":233}]"
10202,Tarvita,4478,0,"[{""t"":""Al alcantarillado"", ""u"":0, ""r"":320},{""t"":""A una cámara séptica"", ""u"":0, ""r"":109},{""t"":""A un pozo ciego"", ""u"":0, ""r"":224},{""t"":""A la calle"", ""u"":0, ""r"":2},{""t"":""A la quebrada, río"", ""u"":0, ""r"":6},{""t"":""No tiene"", ""u"":0, ""r"":2757}]","[{""t"":""Propia"", ""u"":0, ""r"":3104},{""t"":""Alquilada"", ""u"":0, ""r"":136},{""t"":""En contrato anticrético"", ""u"":0, ""r"":3},{""t"":""Cedida por servicios"", ""u"":0, ""r"":86},{""t"":""Prestada por parientes o amigos"", ""u"":0, ""r"":79},{""t"":""Otra"", ""u"":0, ""r"":10}]","[{""t"":""Cañería de red"", ""u"":0, ""r"":1415},{""t"":""Carro repartidor (aguatero)"", ""u"":0, ""r"":2},{""t"":""Lago, laguna, curichi"", ""u"":0, ""r"":51},{""t"":""Lluvia, río, vertiente, acequia"", ""u"":0, ""r"":1259},{""t"":""Pileta pública"", ""u"":0, ""r"":477},{""t"":""Pozo o noria con bomba"", ""u"":0, ""r"":12},{""t"":""Pozo o noria sin bomba"", ""u"":0, ""r"":202}]"
10301,Villa Zudañez,2080,971,"[{""t"":""Al alcantarillado"", ""u"":585, ""r"":9},{""t"":""A una cámara séptica"", ""u"":6, ""r"":66},{""t"":""A un pozo ciego"", ""u"":27, ""r"":154},{""t"":""A la calle"", ""u"":1, ""r"":0},{""t"":""No tiene"", ""u"":206, ""r"":1532}]","[{""t"":""Propia"", ""u"":582, ""r"":1653},{""t"":""Alquilada"", ""u"":145, ""r"":22},{""t"":""En contrato anticrético"", ""u"":7, ""r"":1},{""t"":""Cedida por servicios"", ""u"":33, ""r"":47},{""t"":""Prestada por parientes o amigos"", ""u"":48, ""r"":28},{""t"":""Otra"", ""u"":10, ""r"":10}]","[{""t"":""Cañería de red"", ""u"":765, ""r"":994},{""t"":""Lago, laguna, curichi"", ""u"":0, ""r"":17},{""t"":""Lluvia, río, vertiente, acequia"", ""u"":25, ""r"":572},{""t"":""Pileta pública"", ""u"":32, ""r"":150},{""t"":""Pozo o noria con bomba"", ""u"":2, ""r"":12},{""t"":""Pozo o noria sin bomba"", ""u"":1, ""r"":16}]"
10302,Presto,2696,649,"[{""t"":""Al alcantarillado"", ""u"":336, ""r"":1},{""t"":""A una cámara séptica"", ""u"":10, ""r"":54},{""t"":""A un pozo ciego"", ""u"":18, ""r"":142},{""t"":""A la calle"", ""u"":3, ""r"":1},{""t"":""A la quebrada, río"", ""u"":1, ""r"":0},{""t"":""No tiene"", ""u"":192, ""r"":1959}]","[{""t"":""Propia"", ""u"":396, ""r"":2040},{""t"":""Alquilada"", ""u"":117, ""r"":45},{""t"":""En contrato anticrético"", ""u"":4, ""r"":0},{""t"":""Cedida por servicios"", ""u"":5, ""r"":27},{""t"":""Prestada por parientes o amigos"", ""u"":25, ""r"":40},{""t"":""Otra"", ""u"":13, ""r"":5}]","[{""t"":""Cañería de red"", ""u"":458, ""r"":793},{""t"":""Carro repartidor (aguatero)"", ""u"":1, ""r"":0},{""t"":""Lago, laguna, curichi"", ""u"":1, ""r"":79},{""t"":""Lluvia, río, vertiente, acequia"", ""u"":14, ""r"":829},{""t"":""Pileta pública"", ""u"":76, ""r"":311},{""t"":""Pozo o noria con bomba"", ""u"":4, ""r"":11},{""t"":""Pozo o noria sin bomba"", ""u"":6, ""r"":134}]"
10303,Villa Mojocoya,3007,0,"[{""t"":""Al alcantarillado"", ""u"":0, ""r"":279},{""t"":""A una cámara séptica"", ""u"":0, ""r"":80},{""t"":""A un pozo ciego"", ""u"":0, ""r"":347},{""t"":""A la calle"", ""u"":0, ""r"":2},{""t"":""A la quebrada, río"", ""u"":0, ""r"":7},{""t"":""No tiene"", ""u"":0, ""r"":1267}]","[{""t"":""Propia"", ""u"":0, ""r"":1705},{""t"":""Alquilada"", ""u"":0, ""r"":194},{""t"":""En contrato anticrético"", ""u"":0, ""r"":4},{""t"":""Cedida por servicios"", ""u"":0, ""r"":27},{""t"":""Prestada por parientes o amigos"", ""u"":0, ""r"":43},{""t"":""Otra"", ""u"":0, ""r"":9}]","[{""t"":""Cañería de red"", ""u"":0, ""r"":741},{""t"":""Carro repartidor (aguatero)"", ""u"":0, ""r"":3},{""t"":""Lago, laguna, curichi"", ""u"":0, ""r"":81},{""t"":""Lluvia, río, vertiente, acequia"", ""u"":0, ""r"":607},{""t"":""Pileta pública"", ""u"":0, ""r"":239},{""t"":""Pozo o noria con bomba"", ""u"":0, ""r"":37},{""t"":""Pozo o noria sin bomba"", ""u"":0, ""r"":274}]"
10304,Icla,2317,0,"[{""t"":""Al alcantarillado"", ""u"":0, ""r"":134},{""t"":""A una cámara séptica"", ""u"":0, ""r"":159},{""t"":""A un pozo ciego"", ""u"":0, ""r"":709},{""t"":""A la quebrada, río"", ""u"":0, ""r"":2},{""t"":""A un lago, laguna, curichi"", ""u"":0, ""r"":1},{""t"":""No tiene"", ""u"":0, ""r"":826}]","[{""t"":""Propia"", ""u"":0, ""r"":1664},{""t"":""Alquilada"", ""u"":0, ""r"":85},{""t"":""En contrato anticrético"", ""u"":0, ""r"":3},{""t"":""Cedida por servicios"", ""u"":0, ""r"":25},{""t"":""Prestada por parientes o amigos"", ""u"":0, ""r"":36},{""t"":""Otra"", ""u"":0, ""r"":18}]","[{""t"":""Cañería de red"", ""u"":0, ""r"":1299},{""t"":""Carro repartidor (aguatero)"", ""u"":0, ""r"":1},{""t"":""Lago, laguna, curichi"", ""u"":0, ""r"":31},{""t"":""Lluvia, río, vertiente, acequia"", ""u"":0, ""r"":317},{""t"":""Pileta pública"", ""u"":0, ""r"":133},{""t"":""Pozo o noria con bomba"", ""u"":0, ""r"":2},{""t"":""Pozo o noria sin bomba"", ""u"":0, ""r"":48}]"
10401,Padilla,2313,1395,"[{""t"":""Al alcantarillado"", ""u"":755, ""r"":10},{""t"":""A una cámara séptica"", ""u"":1, ""r"":27},{""t"":""A un pozo ciego"", ""u"":16, ""r"":280},{""t"":""No tiene"", ""u"":214, ""r"":1507}]","[{""t"":""Propia"", ""u"":638, ""r"":1596},{""t"":""Alquilada"", ""u"":264, ""r"":97},{""t"":""En contrato anticrético"", ""u"":15, ""r"":4},{""t"":""En contrato anticrético y alquiler"", ""u"":2, ""r"":3},{""t"":""Cedida por servicios"", ""u"":7, ""r"":41},{""t"":""Prestada por parientes o amigos"", ""u"":49, ""r"":68},{""t"":""Otra"", ""u"":11, ""r"":15}]","[{""t"":""Cañería de red"", ""u"":944, ""r"":813},{""t"":""Carro repartidor (aguatero)"", ""u"":1, ""r"":0},{""t"":""Lago, laguna, curichi"", ""u"":1, ""r"":69},{""t"":""Lluvia, río, vertiente, acequia"", ""u"":2, ""r"":733},{""t"":""Pileta pública"", ""u"":38, ""r"":75},{""t"":""Pozo o noria con bomba"", ""u"":0, ""r"":20},{""t"":""Pozo o noria sin bomba"", ""u"":0, ""r"":114}]"
